File Name,Sentiment,Support Count,Oppose Count,Mixed Count,Reasons for Support,Reasons for Oppose,Prediction
09-12-2017audio_6ZA-2017-210-CU-1A.txt,Supportive,38,4,8,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
11-17-16audio_13VTT-73387.txt,Supportive,126,10,2,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
10-27-16audio_7VTT-72813.txt,Supportive,30,4,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
05-16-2017audio_4DIR-2016-1374-CCMP-1A.txt,Supportive,24,12,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
12-21-17audio_8CPC-2017-3900.txt,Supportive,54,12,2,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
03-28-2013audio_04CPC12-2405.txt,Supportive,74,12,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
11-17-16audio_11CPC-2015-2424.txt,Supportive,20,10,2,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
WLA05-21-14audio_05APCW13-2800.txt,Supportive,23,6,4,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
04-26-2017audio_4Dir-2016-3168.txt,Supportive,40,16,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
12-14-17audio_10CPC-2016-3608.txt,Supportive,54,10,20,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
NV12-06-12audio_04ZA11-1408.txt,Supportive,36,22,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
02-24-2016audio_3ZA-2014-3054-ZAD-1A.txt,Supportive,35,17,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
02-14-2017audio_8APCC-2016-3327.txt,Supportive,8,4,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
05-09-12audio_04ZA11-2114.txt,Supportive,68,2,2,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
03-22-2011audio_03DIR10-359.txt,Supportive,18,6,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
06-13-2013audio_08DIR12-2218.txt,Opposed,2,8,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Denied
WLA08-15-12audio_05APCW10-1087.txt,Supportive,31,2,6,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
06-13-2013audio_04CPC13-226.txt,Supportive,42,7,9,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
12-14-17audio_8CPC-2014-2906.txt,Supportive,34,2,2,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
10-26-17audio_9DIR-2016-1368.txt,Supportive,12,0,2,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
11-10-16audio_8CPC-2015-896.txt,Supportive,168,8,8,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
03-22-2011audio_07DIR09-2189.txt,Supportive,32,8,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
10-27-16audio_6CPC-2015-300.txt,Supportive,42,4,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
02-23-17audio_5aCPC-2015-4613.txt,Supportive,46,12,10,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
08-10-2017audio_9-10VTT-74510andCPC-2016-3312.txt,Supportive,164,8,4,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
SV08-11-2011audio_03APCSV10-2881.txt,Supportive,1,0,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
12-11-2014audio_07CPC14-1759.txt,Supportive,19,0,1,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
01-05-10audio_06APCW10-2130.txt,Supportive,28,12,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
03-22-2017audio_4Dir-2016-3168.txt,Supportive,98,26,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
11-21-2013audio_05CPC13-555.txt,Supportive,22,4,4,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
10-27-16audio_10DIR-2015-3578.txt,Supportive,6,4,0,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
03-10-2011audio_05CPC09-3488.txt,Supportive,53,7,8,Supportive reasons not extracted in this process,Opposition reasons not extracted in this process,Approved
